"","comb08","cylinders","displ","drive","year","Class","trans"
"1",21,4,2,"Rear-Wheel Drive",1985,"Compact","Manual 5 Speed"
"2",27,4,2.2,"Front-Wheel Drive",1985,"Compact","Manual 5 Speed"
"3",11,8,5.2,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"4",19,4,2.2,"4-Wheel or All-Wheel Drive",1993,"Compact","Manual 5 Speed"
"5",22,4,1.8,"Front-Wheel Drive",1993,"Compact","Automatic 3 Speed"
"6",25,4,1.8,"Front-Wheel Drive",1993,"Compact","Manual 5 Speed"
"7",24,4,1.6,"Front-Wheel Drive",1993,"Compact","Automatic 3 Speed"
"8",26,4,1.6,"Front-Wheel Drive",1993,"Compact","Manual 5 Speed"
"9",25,4,1.8,"Front-Wheel Drive",1993,"Compact","Automatic 4 Speed"
"10",26,4,1.8,"Front-Wheel Drive",1993,"Compact","Manual 5 Speed"
"11",21,4,2,"Front-Wheel Drive",1993,"Compact","Automatic 4 Speed"
"12",24,4,2,"Front-Wheel Drive",1993,"Compact","Manual 5 Speed"
"13",21,4,2,"Front-Wheel Drive",1993,"Compact","Automatic 4 Speed"
"14",13,8,5.2,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"15",23,4,2,"Front-Wheel Drive",1993,"Compact","Manual 5 Speed"
"16",20,4,2.3,"Rear-Wheel Drive",1993,"Compact","Automatic 4 Speed"
"17",21,4,2.3,"Rear-Wheel Drive",1993,"Compact","Manual 5 Speed"
"18",19,6,2.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"19",19,6,2.8,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"20",16,8,4,"Rear-Wheel Drive",1993,"Midsize","Automatic 5 Speed"
"21",16,8,4,"Rear-Wheel Drive",1993,"Midsize","Automatic 5 Speed"
"22",23,4,2.2,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"23",19,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"24",13,8,5.2,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"25",21,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"26",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"27",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"28",20,6,3.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"29",20,6,3.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"30",18,8,4.6,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"31",17,8,4.9,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"32",18,8,4.6,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"33",17,8,4.9,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"34",21,4,2.2,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"35",13,8,5.2,"Rear-Wheel Drive",1985,"Van","Manual 4 Speed"
"36",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"37",20,6,3.1,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"38",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"39",18,6,3.4,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"40",20,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"41",15,6,3,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"42",15,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"43",19,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"44",19,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"45",20,6,3,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"46",10,8,5.9,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"47",21,4,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"48",21,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"49",20,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"50",21,4,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"51",23,4,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"52",25,4,2.5,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"53",20,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"54",21,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"55",21,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"56",19,6,3,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"57",10,8,5.2,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"58",20,6,3.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"59",20,6,3.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"60",17,6,3.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"61",18,6,3.8,"Rear-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"62",18,8,5,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"63",20,4,2,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"64",20,4,2,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"65",18,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"66",17,8,4.5,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"67",15,8,4.5,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"68",10,8,5.2,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"69",18,8,4,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"70",19,6,3.8,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"71",18,8,5,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"72",21,6,3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"73",20,6,3.8,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"74",23,4,2,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"75",26,4,2,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"76",19,6,2.5,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"77",20,6,2.5,"Front-Wheel Drive",1993,"Midsize","Manual 5 Speed"
"78",19,6,3,"Rear-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
"79",10,8,5.9,"Rear-Wheel Drive",1985,"Van","Automatic 3 Speed"
"80",23,4,2.2,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"81",19,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 3 Speed"
"82",21,6,3.3,"Front-Wheel Drive",1993,"Midsize","Automatic 4 Speed"
